race id,,required skills,,Note,,answer,BERT_Base
20365,1,0,,,,3,3
20365,2,1,,,,0,1
20365,3,3,,,,2,2
20365,4,3,,,,1,0
20729,2,3,,,,0,0
2822,1,3,,,,1,1
2822,2,1,,,,2,2
2822,3,0,,,,1,1
19917,1,1,,,,2,2
19917,2,3,,,,0,0
21625,1,1,,,,2,1
21625,2,0,,,,3,3
21625,3,3,,,,3,3
13163,1,3,,,,1,2
13163,2,0,7,,,2,2
246,1,3,,in existence,,0,0
246,2,0,,,,2,2
246,3,3,,,,1,2
13460,1,0,,,,1,1
13460,2,6,,,,0,1
12448,1,2,,,,1,0
12448,2,0,,,,1,1
12448,3,0,,best title but can be answered by 0,,0,0
22834,1,3,,,,2,1
22834,2,1,,,,0,0
22834,3,0,,,,1,1
22834,4,5,,,,3,3
22834,5,1,,,,3,3
15336,1,1,,,,0,2
15336,2,0,,,,3,3
15336,3,6,,,,1,1
13066,1,0,,,,0,0
13066,2,0,,,,3,3
13066,3,3,,,,2,2
13066,4,3,,,,1,2
10308,1,0,,,,3,3
10308,2,1,,which should not be done,,1,3
21237,1,0,,,,3,3
21237,2,0,,,,3,1
13822,1,5,,,,0,2
13822,2,1,,,,0,3
13822,3,3,,,,1,3
6752,1,6,,,,0,3
6752,2,2,,,,0,2
6752,4,3,,,,3,3
1215,1,0,,,,1,1
1215,2,1,,,,3,0
1215,3,0,,,,0,0
1334,1,3,,,,0,0
1334,2,0,,,,0,0
1334,3,1,,,,2,0
1334,4,1,,,,3,1
23911,1,0,,,,1,1
23911,2,0,,,,2,2
23911,3,0,,,,3,3
11706,1,7,,function,,3,3
11706,2,0,,,,2,2
11706,4,0,,,,1,1
17090,1,0,,,,3,3
17090,2,0,,,,1,1
17090,3,0,,,,0,0
17090,4,1,,,,3,2
17090,5,0,,,,2,2
996,1,6,,,,3,3
996,2,3,,,,1,1
8775,1,0,,,,0,0
8775,2,0,,,,1,1
8775,3,0,,schedule = appointment,,2,2
8775,4,2,,,,3,3
8775,5,0,,,,2,2
13685,1,0,,,,2,2
13685,2,0,,,,0,0
13685,4,3,,,,1,1
24064,1,0,,,,2,2
24064,2,7,,the word can be replaced by,,1,1
24064,3,3,,,,3,3
6526,1,0,,,,2,2
6526,2,6,,,,3,1
6526,3,6,,joke,,2,0
6526,4,6,,,,3,3
16062,1,5,,,,3,2
16062,2,0,,,,2,2
16062,3,0,,,,1,1
16062,4,1,,,,1,1
4607,1,3,,,,3,3
4607,3,0,,,,0,0
7560,1,7,,"""needles"" refers to",,2,2
7560,2,1,,,,1,1
7560,3,0,,,,0,0
7560,4,6,,,,3,3
7560,5,3,,,,1,1
8631,1,3,,,,3,0
8631,2,0,,,,1,0
8631,3,0,,,,3,3
8631,4,0,,,,1,1
8631,5,1,,,,0,0
8725,1,0,,,,3,3
3571,1,0,,,,2,2
3571,2,0,,,,1,1
3571,3,1,,,,3,0
20218,1,5,,,,3,0
20218,2,0,,,,3,3
20218,4,0,,,,0,0
1006,1,7,,at the beginning of the passage,,2,3
1006,2,6,,,,0,0
1006,3,0,,,,1,1
3675,1,0,,,,1,1
3675,2,0,,,,2,2
3675,3,2,,,,0,1
3675,4,6,,,,3,0
13081,1,6,,,,1,3
13081,2,1,,,,2,0
13081,3,6,,,,2,2
8521,1,3,,,,1,2
8521,2,0,,,,1,1
8521,3,0,,,,0,0
8521,4,0,,,,3,3
5725,1,0,,,,2,2
5725,2,0,,,,0,0
5725,3,3,,,,2,0
17644,1,0,,,,3,3
17644,2,0,,,,1,1
17644,3,3,,,,2,2
4184,1,0,,,,1,3
4184,2,0,,,,3,3
20162,1,0,,,,0,0
20162,2,0,,,,1,1
9374,1,2,,,,1,2
9374,2,0,,,,2,2
9374,3,7,,the passage may come from,,3,3
7582,1,4,,,,0,1
7582,2,4,,,,2,2
7582,3,0,,,,1,1
1033,1,0,,,,0,0
1033,2,6,,,,3,3
1033,3,6,,,,3,3
14100,1,1,,,,1,1
14100,2,3,,,,3,3
14100,3,7,,,,1,1
14172,1,3,,,,2,2
14172,2,0,,,,2,3
12806,1,0,,,,1,1
12806,2,1,,,,0,0
12806,3,3,,,,1,1
24133,1,0,,,,3,3
24133,2,1,,,,2,2
24133,3,6,,,,2,2
13864,1,0,,,,2,2
13864,2,0,,,,1,1
13864,3,3,,,,0,0